"ShipmentID";"SPID";"PID";"GID";"Shipdate";"Amount";"Boxes";"Order_Status"
"S00001769";"SP01";"P04";"G2";"2024-12-30";740;26;"Delivered"
"S00001774";"SP01";"P04";"G5";"2024-01-26";8420;337;"Delivered"
"S00001779";"SP01";"P04";"G1";"2024-12-11";1847;77;"Delivered"
"S00001782";"SP01";"P04";"G2";"2023-08-22";4464;179;"Delivered"
"S00001792";"SP01";"P04";"G1";"2023-12-05";12186;436;"Delivered"
"S00001801";"SP01";"P04";"G4";"2024-02-01";4768;191;"Delivered"
"S00001811";"SP01";"P16";"G2";"2023-01-10";873;40;"Delivered"
"S00001825";"SP01";"P16";"G2";"2023-08-22";3627;135;"Delivered"
"S00001827";"SP01";"P16";"G4";"2023-12-12";9290;345;"Delivered"
"S00001832";"SP01";"P16";"G5";"2023-01-09";3931;146;"Delivered"
"S00001846";"SP01";"P16";"G5";"2024-11-18";2396;120;"Delivered"
"S00001860";"SP01";"P16";"G5";"2024-05-21";2997;116;"Delivered"
"S00001863";"SP01";"P16";"G1";"2024-04-29";2707;118;"Delivered"
"S00001874";"SP01";"P16";"G5";"2023-01-30";13444;518;"Delivered"
"S00001881";"SP01";"P16";"G2";"2023-12-14";8840;328;"Cancelled"
"S00001885";"SP01";"P16";"G4";"2023-12-08";10703;446;"Delivered"
"S00001896";"SP01";"P16";"G3";"2024-10-07";5544;252;"Delivered"
"S00001897";"SP01";"P16";"G4";"2023-07-07";5697;272;"Delivered"
"S00001903";"SP01";"P16";"G6";"2024-08-12";6532;327;"Delivered"
"S00001914";"SP01";"P21";"G5";"2024-06-20";6746;307;"Delivered"
"S00001917";"SP01";"P21";"G6";"2023-12-29";10861;544;"Delivered"
"S00001920";"SP01";"P21";"G1";"2023-07-11";18727;852;"Delivered"
"S00001931";"SP01";"P21";"G6";"2023-11-03";1028;52;"Delivered"
"S00001937";"SP01";"P21";"G2";"2023-03-13";5976;272;"Delivered"
"S00001940";"SP01";"P21";"G4";"2023-07-04";4304;270;"Cancelled"
"S00001952";"SP01";"P21";"G3";"2024-11-27";295;17;"Delivered"
"S00001959";"SP01";"P21";"G6";"2024-07-19";4007;236;"Delivered"
"S00001960";"SP01";"P21";"G1";"2025-01-28";5587;254;"Shipped"
"S00001962";"SP01";"P21";"G1";"2023-01-18";6206;283;"Delivered"
"S00001964";"SP01";"P21";"G2";"2024-07-29";8386;494;"Delivered"
"S00001966";"SP01";"P21";"G3";"2025-02-10";11459;675;"Shipped"
"S00001971";"SP01";"P21";"G5";"2024-05-03";1436;80;"Delivered"
"S00001981";"SP01";"P05";"G4";"2024-12-23";5238;219;"Delivered"
"S00001985";"SP01";"P05";"G5";"2023-12-01";3526;186;"Delivered"
"S00001986";"SP01";"P05";"G5";"2024-05-02";7187;343;"Delivered"
"S00001993";"SP01";"P05";"G2";"2024-03-28";3735;197;"Cancelled"
"S00002007";"SP01";"P05";"G2";"2023-09-19";7362;307;"Delivered"
"S00002013";"SP01";"P05";"G5";"2023-11-07";8564;330;"Delivered"
"S00002015";"SP01";"P05";"G6";"2024-04-29";10694;510;"Delivered"
"S00002018";"SP01";"P05";"G1";"2024-02-02";9533;398;"Delivered"
"S00002029";"SP01";"P05";"G6";"2024-02-01";7135;325;"Delivered"
"S00002037";"SP01";"P12";"G4";"2025-01-07";11075;554;"Shipped"
"S00002043";"SP01";"P12";"G6";"2024-01-08";5229;262;"Delivered"
"S00002048";"SP01";"P12";"G2";"2024-04-25";7128;324;"Delivered"
"S00002064";"SP01";"P12";"G3";"2023-01-11";6973;388;"Delivered"
"S00002066";"SP01";"P12";"G4";"2024-01-16";11493;523;"Delivered"
"S00002069";"SP01";"P12";"G5";"2023-12-28";6248;313;"Delivered"
"S00002073";"SP01";"P03";"G1";"2024-12-20";8273;460;"Delivered"
"S00002075";"SP01";"P03";"G1";"2023-01-26";6086;359;"Cancelled"
"S00002079";"SP01";"P03";"G4";"2023-09-14";8381;466;"Delivered"
"S00002088";"SP01";"P03";"G1";"2023-08-22";4374;183;"Delivered"
"S00002089";"SP01";"P03";"G1";"2023-10-24";635;34;"Delivered"
"S00002091";"SP01";"P03";"G2";"2024-04-09";1595;73;"Delivered"
"S00002094";"SP01";"P03";"G4";"2024-12-11";5672;316;"Delivered"
"S00002098";"SP01";"P03";"G5";"2025-01-13";6800;324;"Shipped"
"S00002101";"SP01";"P03";"G1";"2024-07-30";1055;63;"Delivered"
"S00002106";"SP01";"P03";"G3";"2024-07-29";1469;62;"Delivered"
"S00002111";"SP01";"P03";"G5";"2025-02-11";446;25;"Shipped"
"S00002116";"SP01";"P03";"G1";"2023-08-22";10071;458;"Delivered"
"S00002117";"SP01";"P03";"G1";"2025-02-10";5612;281;"Shipped"
"S00002119";"SP01";"P03";"G2";"2023-10-17";2147;98;"Delivered"
"S00002137";"SP01";"P03";"G4";"2024-11-05";2426;111;"Delivered"
"S00002143";"SP01";"P03";"G1";"2024-04-25";2421;116;"Delivered"
"S00002150";"SP01";"P03";"G4";"2024-11-01";8642;433;"Delivered"
"S00002162";"SP01";"P22";"G3";"2024-11-13";4019;130;"Delivered"
"S00002167";"SP01";"P22";"G5";"2023-11-23";1321;56;"Delivered"
"S00002168";"SP01";"P22";"G5";"2023-10-02";4127;153;"Delivered"
"S00002173";"SP01";"P22";"G1";"2023-05-24";6973;233;"Delivered"
"S00002181";"SP01";"P22";"G5";"2024-01-22";3375;121;"Delivered"
"S00002188";"SP01";"P22";"G2";"2023-10-20";4644;179;"Delivered"
"S00002191";"SP01";"P22";"G4";"2023-12-27";3373;141;"Delivered"
"S00002198";"SP01";"P22";"G1";"2023-01-10";3191;133;"Delivered"
"S00002203";"SP01";"P22";"G2";"2024-12-05";4907;159;"Delivered"
"S00002206";"SP01";"P22";"G4";"2023-02-02";10753;431;"Delivered"
"S00002208";"SP01";"P22";"G5";"2023-03-22";1595;57;"Delivered"
"S00002210";"SP01";"P22";"G5";"2023-06-23";5200;217;"Delivered"
"S00002213";"SP01";"P22";"G1";"2023-01-09";12069;417;"Delivered"
"S00002244";"SP01";"P07";"G2";"2024-07-11";6566;469;"Delivered"
"S00002248";"SP01";"P07";"G4";"2024-11-20";9353;551;"Delivered"
"S00002249";"SP01";"P07";"G4";"2025-01-03";8537;610;"Shipped"
"S00002257";"SP01";"P07";"G1";"2024-01-02";1370;115;"Delivered"
